Phylum,Class,Order,Family,Genus
Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Thermoplasmatota,Methanonatronarchaeia,Methanonatronarchaeales,Haloarculaceae,Halopenitus
Thermoproteota,Methanosarcinia,Methanosarcinales,Halococcaceae,Halonotius
Asgardarchaeota,Bog-38,Methanosarcinales_A,Natrialbaceae,Halohasta
Methanobacteriota,Methanocellia,Methanotrichales,QS-9-68-17,Halalkalirubrum
Hydrothermarchaeota,UBA148,Bog-38,Natronoarchaeaceae,Halolamina
Methanobacteriota_A,Syntropharchaeia,Methanocellales,SW-7-71-33,Halobaculum
Methanobacteriota_B,Archaeoglobi,UBA148,Halobacteriaceae,Halobellus
Hadarchaeota,Methanoliparia,ANME-1,Haladaptataceae,Haloquadratum
Micrarchaeota,Methanomicrobia,Syntropharchaeales,Halalkalicoccaceae,Halogeometricum
B1Sed10-29,Poseidoniia,Archaeoglobales,SKNY01,Halopelagius
Iainarchaeota,EX4484-6,JdFR-21,SKSH01,Haloferax
Altiarchaeota,Thermoplasmata,Methanoliparales,UBA12382,Salinigranum
Nanoarchaeota,SW-10-69-26,Methanomicrobiales,Methanonatronarchaeaceae,Halogranum
Aenigmatarchaeota,E2,Poseidoniales,Methanosarcinaceae,Halegenticoccus
Nanohaloarchaeota,UBA186,MGIII,Methanoperedenaceae,Haloprofundus
EX4484-52,B47-G6,EX4484-6,EX4572-44,Haloplanus
SpSt-1190,Nitrososphaeria,Methanomassiliicoccales,Methanocomedenaceae,Halovenus
Undinarchaeota,Nitrososphaeria_A,UBA10834,Methanogasteraceae,SW-9-67-25
Spirochaetota,EX4484-205,SG8-5,Methermicoccaceae,Halosimplex
UBA8481,Bathyarchaeia,RBG-16-68-12,Methanotrichaceae,Haloarcula
Lindowbacteria,Thermoproteia,UBA184,Bog-38,Halomicroarcula
T1Sed10-126,Methanomethylicia,Thermoplasmatales,Methanocellaceae,Halomicrobium
Wallbacteria,Korarchaeia,Aciduliprofundales,UBA148,Halorhabdus
Riflebacteria,Lokiarchaeia,ARK-15,ANME-1,Halapricum
UBP17,Hermodarchaeia,PWKY01,Syntropharchaeaceae,Halorientalis
Mcinerneyibacteriota,Thorarchaeia,DTKX01,Archaeoglobaceae,Natronomonas
Fusobacteriota,Baldrarchaeia,SW-10-69-26,JdFR-42,CBA1134
Calescibacterota,Jordarchaeia,DHVEG-1,JdFR-21,Haloglomus
DRYD01,Odinarchaeia,UBA202,Methanoliparaceae,Halomarina
UBP7,Heimdallarchaeia,UBA9212,Methanoregulaceae,Halococcus
Dependentiae,Sifarchaeia,UBA287,Methanospirillaceae,Natrinema
Campylobacterota,Methanobacteria,B47-G6B,Methanosphaerulaceae,Natronorubrum
Synergistota,Hydrothermarchaeia,Nitrososphaerales,Methanoculleaceae,Haloterrigena
Bipolaricaulota,Methanococci,Conexivisphaerales,Methanomicrobiaceae,Natrialba
Thermotogota,Methanopyri,Geothermarchaeales,Methanofollaceae,Natronolimnobius
DUMJ01,Thermococci,Caldarchaeales,Methanocorpusculaceae,Halobiforma
Dictyoglomota,Hadarchaeia,EX4484-205,Poseidoniaceae,Natronobacterium
JACIXR01,Micrarchaeia,B26-1,Thalassarchaeaceae,Halopiger
Caldisericota,B1Sed10-29,EX4484-135,CG-Epi1,Natrarchaeobaculum
Thermodesulfobiota,Iainarchaeia,TCS64,EX4484-6,Natrarchaeobius
HKB111,Altiarchaeia,40CM-2-53-6,Methanomethylophilaceae,Natronococcus
Coprothermobacterota,Nanoarchaeia,B25,Methanomassiliicoccaceae,Halostagnicola
Patescibacteria,Aenigmatarchaeia,RBG-16-48-13,UBA472,Tc-Br11
4484-113,Nanosalinia,B24,JACIVX01,Tc-Br11-E2g8
UBP15,EX4484-52,Sulfolobales,UBA10834,Halovivax
Cyanobacteriota,SpSt-1190,EX4484-217-1,DTMW01,Halostella
Margulisbacteria,Undinarchaeia,Marsarchaeales,SG8-5,Natronoarchaeum
Firmicutes_G,UBA6919,Thermoproteales,RBG-16-68-12,SW-7-71-33
Firmicutes_H,B62-G9,Thermofilales,EA-27,Halobacterium
Firmicutes,JAAYUW01,QMSL01,UBA184,Halarchaeum
Firmicutes_F,GWE2-31-10,Gearchaeales,Thermoplasmataceae,Halodesulfurarchaeum
Firmicutes_A,Spirochaetia,Methanomethylicales,GCA-001856825,Halorussus
Firmicutes_D,Brevinematia,Nezhaarchaeales,Aciduliprofundaceae,Haladaptatus
DTU030,Brachyspirae,B29-G17,ARK-15,Halalkalicoccus
Firmicutes_B,UBA12135,Korarchaeales,PWKY01,SKXI01
Firmicutes_C,JAHITG01,CR-4,SW-10-69-26,SKNY01
