sample_id,sample,name,amplicon,source,soil,fraction,ri,bouyantdensity,bd_round,GC,GC_round,label
4.5_0,4.5_0,GcA,1,GcA,GcA (Craibstone pH 4.5),0,,,,,,GcA
4.5_0.1,4.5_0.1,GcAr1,1,GcA,GcA (Craibstone pH 4.5),0,,,,,,GcArep1
4.5_0.2,4.5_0.2,GcAr2,1,GcA,GcA (Craibstone pH 4.5),0,,,,,,GcArep2
4.5_0.3,4.5_0.3,GcAr3,1,GcA,GcA (Craibstone pH 4.5),0,,,,,,GcArep3
4.5_1,4.5_1,GcA1,0,GcA,GcA (Craibstone pH 4.5),1,,,,,,Fill1
4.5_4,4.5_4,GcA4,1,GcA,GcA (Craibstone pH 4.5),4,1.3994,1.697,1.697,68.7,68.7,GcA4 (68)
4.5_5,4.5_5,GcA5,1,GcA,GcA (Craibstone pH 4.5),5,1.3988,1.691,1.691,64.8,64.8,GcA5 (64)
4.5_6,4.5_6,GcA6,1,GcA,GcA (Craibstone pH 4.5),6,1.3982,1.684,1.684,60.9,60.9,GcA6 (60)
4.5_7,4.5_7,GcA7,1,GcA,GcA (Craibstone pH 4.5),7,1.3976,1.677,1.677,57,57,GcA7 (57)
4.5_8,4.5_8,GcA8,1,GcA,GcA (Craibstone pH 4.5),8,1.3972,1.673,1.673,54.5,54.5,GcA8 (54)
4.5_9,4.5_9,GcA9,1,GcA,GcA (Craibstone pH 4.5),9,1.3966,1.667,1.667,50.6,50.6,GcA9 (50)
4.5_10,4.5_10,GcA10,1,GcA,GcA (Craibstone pH 4.5),10,1.3961,1.661,1.661,47.3,47.3,GcA10 (47)
4.5_11,4.5_11,GcA11,1,GcA,GcA (Craibstone pH 4.5),11,1.3956,1.656,1.656,44.1,44.1,GcA11 (44)
4.5_12,4.5_12,GcA12,1,GcA,GcA (Craibstone pH 4.5),12,1.3951,1.65,1.65,40.9,40.9,GcA12 (40)
4.5_13,4.5_13,GcA13,1,GcA,GcA (Craibstone pH 4.5),13,1.3946,1.645,1.645,37.6,37.6,GcA13 (37)
4.5_14,4.5_14,GcA14,1,GcA,GcA (Craibstone pH 4.5),14,1.3941,1.639,1.639,34.4,34.4,GcA14 (34)
4.5_20,4.5_20,GcA20,0,GcA,GcA (Craibstone pH 4.5),20,,,,,,Fill2
7.5_0,7.5_0,GcB,1,GcB,GcB (Craibstone pH 7.5),0,,,,,,GcB
7.5_0.1,7.5_0.1,GcBr1,1,GcB,GcB (Craibstone pH 7.5),0,,,,,,GcBrep1
7.5_0.2,7.5_0.2,GcBr2,1,GcB,GcB (Craibstone pH 7.5),0,,,,,,GcBrep2
7.5_0.3,7.5_0.3,GcBr3,1,GcB,GcB (Craibstone pH 7.5),0,,,,,,GcBrep3
7.5_1,7.5_1,GcB1,0,GcB,GcB (Craibstone pH 7.5),1,,,,,,Fill3
7.5_4,7.5_4,GcB4,1,GcB,GcB (Craibstone pH 7.5),4,1.4,1.7037073,1.704,72.6,72.6,GcB4 (72)
7.5_5,7.5_5,GcB5,1,GcB,GcB (Craibstone pH 7.5),5,1.3994,1.6971511,1.697,68.7,68.7,GcB5 (68)
7.5_6,7.5_6,GcB6,1,GcB,GcB (Craibstone pH 7.5),6,1.3989,1.6916876,1.692,65.4,65.4,GcB6 (65)
7.5_7,7.5_7,GcB7,1,GcB,GcB (Craibstone pH 7.5),7,1.3982,1.6840387,1.684,60.9,60.9,GcB7 (60)
7.5_8,7.5_8,GcB8,1,GcB,GcB (Craibstone pH 7.5),8,1.3976,1.6774825,1.677,57,57,GcB8 (57)
7.5_9,7.5_9,GcB9,1,GcB,GcB (Craibstone pH 7.5),9,1.3971,1.672019,1.672,53.8,53.8,GcB9 (53)
7.5_10,7.5_10,GcB10,1,GcB,GcB (Craibstone pH 7.5),10,1.3966,1.6665555,1.667,50.6,50.6,GcB10 (50)
7.5_11,7.5_11,GcB11,1,GcB,GcB (Craibstone pH 7.5),11,1.396,1.6599993,1.66,46.7,46.7,GcB11 (46)
7.5_12,7.5_12,GcB12,1,GcB,GcB (Craibstone pH 7.5),12,1.3955,1.6545358,1.655,43.5,43.5,GcB12 (43)
7.5_13,7.5_13,GcB13,1,GcB,GcB (Craibstone pH 7.5),13,1.395,1.6490723,1.649,40.2,40.2,GcB13 (40)
7.5_14,7.5_14,GcB14,1,GcB,GcB (Craibstone pH 7.5),14,1.3945,1.6436088,1.644,37,37,GcB14 (37)
7.5_20,7.5_20,GcB20,0,GcB,GcB (Craibstone pH 7.5),20,,,,,,Fill4
CM_0,CM_0,GcC,1,GcC,GcC (Corsemaul),0,,,,,,GcC
CM_0.1,CM_0.1,GcCr1,1,GcC,GcC (Corsemaul),0,,,,,,GcCrep1
CM_0.2,CM_0.2,GcCr2,1,GcC,GcC (Corsemaul),0,,,,,,GcCrep2
CM_0.3,CM_0.3,GcCr3,1,GcC,GcC (Corsemaul),0,,,,,,GcCrep3
CM_1,CM_1,GcC1,0,GcC,GcC (Corsemaul),1,,,,,,Fill5
