#SampleID	sample	name	amplicon	source	soil	fraction	ri	bouyantdensity	bd_round	GC	GC_round	label
4.5_0	4.5_0	GcA	1	GcA	GcA (Craibstone pH 4.5)	 0	NA	NA	NA	NA	NA	GcA
4.5_4	4.5_4	GcA4	1	GcA	GcA (Craibstone pH 4.5)	 4	1.3994	1.697000	1.697	68.70000	68.7	GcA4 (68)
4.5_5	4.5_5	GcA5	1	GcA	GcA (Craibstone pH 4.5)	 5	1.3988	1.691000	1.691	64.80000	64.8	GcA5 (64)
4.5_6	4.5_6	GcA6	1	GcA	GcA (Craibstone pH 4.5)	 6	1.3982	1.684000	1.684	60.90000	60.9	GcA6 (60)
4.5_7	4.5_7	GcA7	1	GcA	GcA (Craibstone pH 4.5)	 7	1.3976	1.677000	1.677	57.00000	57.0	GcA7 (57)
4.5_8	4.5_8	GcA8	1	GcA	GcA (Craibstone pH 4.5)	 8	1.3972	1.673000	1.673	54.50000	54.5	GcA8 (54)
4.5_9	4.5_9	GcA9	1	GcA	GcA (Craibstone pH 4.5)	 9	1.3966	1.667000	1.667	50.60000	50.6	GcA9 (50)
4.5_10	4.5_10	GcA10	1	GcA	GcA (Craibstone pH 4.5)	10	1.3961	1.661000	1.661	47.30000	47.3	GcA10 (47)
4.5_11	4.5_11	GcA11	1	GcA	GcA (Craibstone pH 4.5)	11	1.3956	1.656000	1.656	44.10000	44.1	GcA11 (44)
4.5_12	4.5_12	GcA12	1	GcA	GcA (Craibstone pH 4.5)	12	1.3951	1.650000	1.650	40.90000	40.9	GcA12 (40)
4.5_13	4.5_13	GcA13	1	GcA	GcA (Craibstone pH 4.5)	13	1.3946	1.645000	1.645	37.60000	37.6	GcA13 (37)
4.5_14	4.5_14	GcA14	1	GcA	GcA (Craibstone pH 4.5)	14	1.3941	1.639000	1.639	34.40000	34.4	GcA14 (34)
4.5_0.1	4.5_0.1	GcAr1	1	GcA	GcA (Craibstone pH 4.5)	 0	NA	NA	NA	NA	NA	GcArep1
4.5_0.2	4.5_0.2	GcAr2	1	GcA	GcA (Craibstone pH 4.5)	 0	NA	NA	NA	NA	NA	GcArep2
4.5_0.3	4.5_0.3	GcAr3	1	GcA	GcA (Craibstone pH 4.5)	 0	NA	NA	NA	NA	NA	GcArep3
7.5_0	7.5_0	GcB	1	GcB	GcB (Craibstone pH 7.5)	 0	NA	NA	NA	NA	NA	GcB
7.5_4	7.5_4	GcB4	1	GcB	GcB (Craibstone pH 7.5)	 4	1.4000	1.703707	1.704	72.60000	72.6	GcB4 (72)
7.5_5	7.5_5	GcB5	1	GcB	GcB (Craibstone pH 7.5)	 5	1.3994	1.697151	1.697	68.70000	68.7	GcB5 (68)
7.5_6	7.5_6	GcB6	1	GcB	GcB (Craibstone pH 7.5)	 6	1.3989	1.691688	1.692	65.40000	65.4	GcB6 (65)
7.5_7	7.5_7	GcB7	1	GcB	GcB (Craibstone pH 7.5)	 7	1.3982	1.684039	1.684	60.90000	60.9	GcB7 (60)
7.5_8	7.5_8	GcB8	1	GcB	GcB (Craibstone pH 7.5)	 8	1.3976	1.677482	1.677	57.00000	57.0	GcB8 (57)
7.5_9	7.5_9	GcB9	1	GcB	GcB (Craibstone pH 7.5)	 9	1.3971	1.672019	1.672	53.80000	53.8	GcB9 (53)
7.5_10	7.5_10	GcB10	1	GcB	GcB (Craibstone pH 7.5)	10	1.3966	1.666556	1.667	50.60000	50.6	GcB10 (50)
