#ASVID	taxonomy
ASV1	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae;Nitrosotalea;NA
ASV2	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SbA1;QIAJ01;QIAJ01 sp016196065(GB_GCA_016196065.1)
ASV3	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosocosmicus;NA
ASV4	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae;Nitrosotalea;NA
ASV5	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae;Nitrosarchaeum;NA
ASV6	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae;Nitrosotalea;NA
ASV7	Bacteria;Dormibacterota;Dormibacteria;Dormibacterales;Dormibacteraceae;40CM-4-65-16;40CM-4-65-16 sp005889135(GB_GCA_005889135.1)
ASV8	Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;JACQFH01;JACQFH01 sp016200145(GB_GCA_016200145.1)
ASV9	NA;NA;NA;NA;NA;NA;NA
ASV10	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;NA
ASV11	Bacteria;Dormibacterota;Dormibacteria;Dormibacterales;Dormibacteraceae;40CM-4-65-16;40CM-4-65-16 sp005889135(GB_GCA_005889135.1)
ASV12	Bacteria;Bacillota;Bacilli;Bacillales;DSM-18226;Bacillus_BD;Bacillus_BD sp024494465(RS_GCF_024494465.1)
ASV13	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-744;Palsa-744 sp013815355(GB_GCA_013815355.1)
ASV14	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;RAAP-2;RAAP-2;NA
ASV15	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;CAKKPP01;CAKKPP01 sp919901745(GB_GCA_919901745.1)
ASV16	Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales;CSP1-6;UBA12499;UBA12499 sp001788395(GB_GCA_001788395.1)
ASV17	Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;UBA6898;GW-Nitrospira-1;GW-Nitrospira-1 sp002839535(GB_GCA_002839535.1)
ASV18	Bacteria;Bacillota;Bacilli;Bacillales;DSM-18226;NA;NA
ASV19	Archaea;Thermoproteota;Bathyarchaeia;B26-1;UBA233;PALSA-986;NA
ASV20	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;NA;NA
ASV21	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;UBA5189;UBA5189 sp015661135(GB_GCA_015661135.1)
ASV22	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;NA;NA;NA
ASV23	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;UBA2999;Gp6-AA45;Gp6-AA45 sp020073005(GB_GCA_020073005.1)
ASV24	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;UBA183;BOG-1369;BOG-1369 sp003135575(GB_GCA_003135575.1)
ASV25	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;NA
ASV26	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SbA1;NA;NA
ASV27	Bacteria;Bacillota_F;Halanaerobiia;Halanaerobiales;NA;NA;NA
ASV28	Bacteria;Actinomycetota;Actinomycetia;Actinomycetales;Micrococcaceae;Arthrobacter;NA
ASV29	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;NA
ASV30	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;UBA11358;UBA11358;UBA11358 sp021817945(GB_GCA_021817945.1)
ASV31	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae;NA;NA
ASV32	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;UBA183;UBA183;UBA183 sp021796515(GB_GCA_021796515.1)
ASV33	Bacteria;Desulfobacterota_D;UBA1144;UBA2774;UBA2774;JADLGH01;JADLGH01 sp020849425(GB_GCA_020849425.1)
ASV34	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;CADDZS01;CADDZS01;CADDZS01 sp021806865(GB_GCA_021806865.1)
ASV35	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;TA-21;NA
ASV36	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosopolaris;NA
ASV37	Bacteria;Actinomycetota;Actinomycetia;Streptosporangiales;Streptosporangiaceae;NA;NA
ASV38	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;NA;NA;NA
ASV39	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;Palsa-295;Palsa-295 sp003167215(GB_GCA_003167215.1)
ASV40	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SbA1;QIAJ01;QIAJ01 sp016196065(GB_GCA_016196065.1)
ASV41	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SbA1;QIAJ01;QIAJ01 sp016196065(GB_GCA_016196065.1)
ASV42	Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;NA;NA;NA
ASV43	Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales;CSP1-6;UBA12499;UBA12499 sp001788395(GB_GCA_001788395.1)
ASV44	Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;FEN-987;FEN-987;FEN-987 sp001768965(GB_GCA_001768965.1)
ASV45	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;NA
ASV46	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosopolaris;NA
ASV47	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;CF-113;CF-113 sp005881995(GB_GCA_005881995.1)
ASV48	Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;NA
ASV49	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;Acidoferrum;Acidoferrum sp003154775(GB_GCA_003154775.1)
ASV50	Bacteria;Bacteroidota;Bacteroidia;AKYH767;B-17BO;PALSA-968;PALSA-968 sp013288015(GB_GCA_013288015.1)
ASV51	Bacteria;Eremiobacterota;Eremiobacteria;Eremiobacterales;Eremiobacteraceae;JABCYQ01;JABCYQ01 sp013290125(GB_GCA_013290125.1)
ASV52	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;UBA183;BOG-1369;BOG-1369 sp003135575(GB_GCA_003135575.1)
ASV53	Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;JACQFH01;JACQFH01 sp016200145(GB_GCA_016200145.1)
ASV54	Bacteria;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;JACPZP01;JACPZP01 sp016195405(GB_GCA_016195405.1)
ASV55	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Hanamia;NA
ASV56	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;Udaeobacter;Udaeobacter sp003219415(GB_GCA_003219415.1)
ASV57	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;66-474;66-474 sp004299705(GB_GCA_004299705.1)
ASV58	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;Udaeobacter;Udaeobacter sp003219415(GB_GCA_003219415.1)
ASV59	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;CADDZS01;CADDZS01;CADDZS01 sp021806865(GB_GCA_021806865.1)
ASV60	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-744;Palsa-744 sp013815355(GB_GCA_013815355.1)
ASV61	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;Acidoferrum;Acidoferrum sp003225295(GB_GCA_003225295.1)
ASV62	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;UBA183;BOG-1369;BOG-1369 sp003135575(GB_GCA_003135575.1)
ASV63	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;NA
ASV64	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;PALSA-1355;NA;NA
ASV65	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;Acidoferrum;Acidoferrum sp003225295(GB_GCA_003225295.1)
ASV66	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;UBA5189;UBA5189 sp015661135(GB_GCA_015661135.1)
ASV67	Bacteria;Eremiobacterota;Eremiobacteria;Baltobacterales;Baltobacteraceae;JAJYFL01;JAJYFL01 sp021790935(GB_GCA_021790935.1)
ASV68	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;NA
ASV69	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;UBA183;BOG-1369;BOG-1369 sp003135575(GB_GCA_003135575.1)
ASV70	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;Rhodanobacter sp002001105(RS_GCF_002001105.1)
ASV71	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;Palsa-360;Palsa-360 sp020073485(GB_GCA_020073485.1)
ASV72	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;BOG-931;BOG-931 sp019075925(GB_GCA_019075925.1)
ASV73	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;NA;NA
ASV74	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SbA1;QIAJ01;QIAJ01 sp016196065(GB_GCA_016196065.1)
ASV75	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;NA
ASV76	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;PALSA-1355;NA;NA
ASV77	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-851;NA
ASV78	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;CAKKPP01;CAKKPP01 sp919901745(GB_GCA_919901745.1)
ASV79	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;UBA5189;UBA5189 sp013822395(GB_GCA_013822395.1)
ASV80	Bacteria;NA;NA;NA;NA;NA;NA
ASV81	Bacteria;Chloroflexota;NA;NA;NA;NA;NA
ASV82	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina thermophila(RS_GCF_000969885.1)
ASV83	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;NA
ASV84	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;NA;NA;NA
ASV85	Bacteria;NA;NA;NA;NA;NA;NA
ASV86	Bacteria;Actinomycetota;Actinomycetia;Mycobacteriales;Geodermatophilaceae;Blastococcus;NA
ASV87	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Palsa-739;Palsa-739 sp003139545(GB_GCA_003139545.1)
ASV88	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrosocosmicus;NA
ASV89	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;Palsa-360;NA
ASV90	Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541;JAIQGC01;JAIQGC01 sp020072805(GB_GCA_020072805.1)
ASV91	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;NA;NA;NA
ASV92	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;UBA5189;UBA5189 sp013822395(GB_GCA_013822395.1)
ASV93	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;NA
ASV94	Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;JACQFH01;JACQFH01 sp016200145(GB_GCA_016200145.1)
ASV95	Bacteria;Acidobacteriota;Vicinamibacteria;Fen-336;Fen-336;WYBL01;NA
ASV96	Bacteria;Chloroflexota;Limnocylindria;Limnocylindrales;CSP1-4;GWC2-73-18;GWC2-73-18 sp001794945(GB_GCA_001794945.1)
ASV97	NA;NA;NA;NA;NA;NA;NA
ASV98	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;JACWAJ01;JACWAJ01 sp014874355(GB_GCA_014874355.1)
ASV99	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SbA1;Bog-209;Bog-209 sp003162935(GB_GCA_003162935.1)
ASV100	Bacteria;Actinomycetota;Actinomycetia;Mycobacteriales;Geodermatophilaceae;NA;NA
ASV101	Bacteria;Chloroflexota;NA;NA;NA;NA;NA
