#ASVID	4.5_0	4.5_4	4.5_5	4.5_6	4.5_7	4.5_8	4.5_9	4.5_10	4.5_11	4.5_12	4.5_13	4.5_14	4.5_0.1	4.5_0.2	4.5_0.3	7.5_0	7.5_4	7.5_5	7.5_6	7.5_7	7.5_8	7.5_9	7.5_10	7.5_11	7.5_12	7.5_13	7.5_14	7.5_0.1	7.5_0.2	7.5_0.3	CM_0	CM_5	CM_6	CM_7	CM_8	CM_9	CM_10	CM_11	CM_0.1	CM_0.2	CM_0.3	LD_0	LD_4	LD_5	LD_6	LD_7	LD_8	LD_9	LD_10	LD_11	LD_12	LD_13	LD_0.1	LD_0.2	LD_0.3
ASV1	176	0	0	0	0	0	0	80	594	1205	1277	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	19	18	23	81	725	1276	3803	4554	4855	6199	1834	5	0	0	0	17	115	1241	4147	6978	11001	2582	3312	3311
ASV2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4562	970	3429	11271	8632	4928	4177	4947	1189	1431	1838	132	0	0	0	0	122	90	72	87	49	89	38	0	0
ASV3	356	0	0	0	0	0	0	49	227	638	2511	7843	490	792	888	633	5	0	0	0	0	0	49	618	1748	5981	8833	718	596	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1337	0	0	0	0	0	50	706	2591	5272	8751	2311	1879	2343
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	86	909	1950	5140	7769	2754	2230	2860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6	368	0	0	0	0	24	48	117	1259	3284	2868	824	45	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	805	0	0	0	0	0	0	407	1525	3104	5177	1102	1060	1321
ASV7	700	667	604	716	590	342	159	151	383	295	220	280	565	695	833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	5344	1687	581	226	344	261	477	1166	1320	1896	0	0	37	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	68	26	0	0	87	91	59	0	0	31	0	16	67	66	73	862	206	436	1244	556	595	388	415	1532	1851	2554	356	72	0	0	301	348	173	140	99	90	146	367	264	490
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	11	44	448	1160	2962	4994	1377	1059	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10	1384	171	60	587	1411	1828	1159	885	988	910	643	800	837	840	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
