#SampleID	sample	name	amplicon	soil	fractioned	fraction_no	ri	bouyantdensity	bd_round	GC	GC_round	label
4.5_0	4.5_0	GcA	1	GcA	0	0	NA	NA	NA	NA	NA	GcA
4.5_4	4.5_4	GcA4	1	GcA	1	4	1.3994	1.697000	1.697	70.51632	71	GcA4 (71)
4.5_5	4.5_5	GcA5	1	GcA	1	5	1.3988	1.691000	1.691	66.21264	66	GcA5 (66)
4.5_6	4.5_6	GcA6	1	GcA	1	6	1.3982	1.684000	1.684	61.90896	62	GcA6 (62)
4.5_7	4.5_7	GcA7	1	GcA	1	7	1.3976	1.677000	1.677	57.60528	58	GcA7 (58)
4.5_8	4.5_8	GcA8	1	GcA	1	8	1.3972	1.673000	1.673	54.73616	55	GcA8 (55)
4.5_9	4.5_9	GcA9	1	GcA	1	9	1.3966	1.667000	1.667	50.43248	50	GcA9 (50)
4.5_10	4.5_10	GcA10	1	GcA	1	10	1.3961	1.661000	1.661	46.84608	47	GcA10 (47)
4.5_11	4.5_11	GcA11	1	GcA	1	11	1.3956	1.656000	1.656	43.25968	43	GcA11 (43)
4.5_12	4.5_12	GcA12	1	GcA	1	12	1.3951	1.650000	1.650	39.67328	40	GcA12 (40)
4.5_13	4.5_13	GcA13	1	GcA	1	13	1.3946	1.645000	1.645	36.08688	36	GcA13 (36)
4.5_14	4.5_14	GcA14	1	GcA	1	14	1.3941	1.639000	1.639	32.50048	33	GcA14 (33)
4.5_0.1	4.5_0.1	GcAr1	1	GcA	0	0	NA	NA	NA	NA	NA	GcArep1
4.5_0.2	4.5_0.2	GcAr2	1	GcA	0	0	NA	NA	NA	NA	NA	GcArep2
4.5_0.3	4.5_0.3	GcAr3	1	GcA	0	0	NA	NA	NA	NA	NA	GcArep3
7.5_0	7.5_0	GcB	1	GcB	0	0	NA	NA	NA	NA	NA	GcB
7.5_4	7.5_4	GcB4	1	GcB	1	4	1.4000	1.703707	1.704	74.82000	75	GcB4 (75)
7.5_5	7.5_5	GcB5	1	GcB	1	5	1.3994	1.697151	1.697	70.51632	71	GcB5 (71)
7.5_6	7.5_6	GcB6	1	GcB	1	6	1.3989	1.691688	1.692	66.92992	67	GcB6 (67)
7.5_7	7.5_7	GcB7	1	GcB	1	7	1.3982	1.684039	1.684	61.90896	62	GcB7 (62)
7.5_8	7.5_8	GcB8	1	GcB	1	8	1.3976	1.677482	1.677	57.60528	58	GcB8 (58)
7.5_9	7.5_9	GcB9	1	GcB	1	9	1.3971	1.672019	1.672	54.01888	54	GcB9 (54)
7.5_10	7.5_10	GcB10	1	GcB	1	10	1.3966	1.666556	1.667	50.43248	50	GcB10 (50)
7.5_11	7.5_11	GcB11	1	GcB	1	11	1.3960	1.659999	1.660	46.12880	46	GcB11 (46)
7.5_12	7.5_12	GcB12	1	GcB	1	12	1.3955	1.654536	1.655	42.54240	43	GcB12 (43)
7.5_13	7.5_13	GcB13	1	GcB	1	13	1.3950	1.649072	1.649	38.95600	39	GcB13 (39)
7.5_14	7.5_14	GcB14	1	GcB	1	14	1.3945	1.643609	1.644	35.36960	35	GcB14 (35)
7.5_0.1	7.5_0.1	GcBr1	1	GcB	0	0	NA	NA	NA	NA	NA	GcBrep1
7.5_0.2	7.5_0.2	GcBr2	1	GcB	0	0	NA	NA	NA	NA	NA	GcBrep2
7.5_0.3	7.5_0.3	GcBr3	1	GcB	0	0	NA	NA	NA	NA	NA	GcBrep3
CM_0	CM_0	GcC	1	GcC	0	0	NA	NA	NA	NA	NA	GcC
CM_5	CM_5	GcC5	1	GcC	1	5	1.3993	1.696058	1.696	69.79904	70	GcC5 (70)
CM_6	CM_6	GcC6	1	GcC	1	6	1.3986	1.688409	1.688	64.77808	65	GcC6 (65)
CM_7	CM_7	GcC7	1	GcC	1	7	1.3980	1.681853	1.682	60.47440	60	GcC7 (60)
CM_8	CM_8	GcC8	1	GcC	1	8	1.3973	1.674204	1.674	55.45344	55	GcC8 (55)
CM_9	CM_9	GcC9	1	GcC	1	9	1.3967	1.667648	1.668	51.14976	51	GcC9 (51)
CM_10	CM_10	GcC10	1	GcC	1	10	1.3962	1.662185	1.662	47.56336	48	GcC10 (48)
CM_11	CM_11	GcC11	1	GcC	1	11	1.3957	1.656721	1.657	43.97696	44	GcC11 (44)
CM_0.1	CM_0.1	GcCr1	1	GcC	0	0	NA	NA	NA	NA	NA	GcCrep1
CM_0.2	CM_0.2	GcCr2	1	GcC	0	0	NA	NA	NA	NA	NA	GcCrep2
CM_0.3	CM_0.3	GcCr3	1	GcC	0	0	NA	NA	NA	NA	NA	GcCrep3
LD_0	LD_0	GcL	1	GcL	0	0	NA	NA	NA	NA	NA	GcL
LD_4	LD_4	GcL4	1	GcL	1	4	1.3997	1.700429	1.700	72.66816	73	GcL4 (73)
LD_5	LD_5	GcL5	1	GcL	1	5	1.3992	1.694966	1.695	69.08176	69	GcL5 (69)
LD_6	LD_6	GcL6	1	GcL	1	6	1.3985	1.687317	1.687	64.06080	64	GcL6 (64)
LD_7	LD_7	GcL7	1	GcL	1	7	1.3980	1.681853	1.682	60.47440	60	GcL7 (60)
LD_8	LD_8	GcL8	1	GcL	1	8	1.3974	1.675297	1.675	56.17072	56	GcL8 (56)
LD_9	LD_9	GcL9	1	GcL	1	9	1.3968	1.668741	1.669	51.86704	52	GcL9 (52)
LD_10	LD_10	GcL10	1	GcL	1	10	1.3963	1.663277	1.663	48.28064	48	GcL10 (48)
LD_11	LD_11	GcL11	1	GcL	1	11	1.3957	1.656721	1.657	43.97696	44	GcL11 (44)
