,4_5_M5,4_5_M11,7_5_M4,7_5_M14,CM_M5,CM_M11,LD_M4,LD_M13
ASV10411,0,7451272,0,0,0,0,0,0
ASV10412,0,0,0,0,0,16888583,0,0
ASV10413,9657453,0,0,0,0,0,0,0
ASV10414,0,0,0,0,8972592,0,0,0
ASV10415,0,0,0,0,38368395,0,0,0
ASV10416,0,0,0,0,0,35752928,0,0
ASV10417,0,9102569,0,0,0,0,0,0
ASV10418,0,0,0,21600538,0,0,0,0
ASV10419,0,0,0,0,0,37645036,0,0
ASV10420,0,163386020,0,0,0,0,0,0
ASV10421,0,0,0,55434230,0,0,0,0
ASV10422,0,0,0,115842700,0,0,0,0
ASV10423,0,0,0,0,21664762,0,0,0
ASV10424,0,0,0,0,0,0,0,23721954
ASV10425,0,0,0,0,139902090,0,0,0
ASV10426,0,0,0,0,0,16060644,0,0
ASV10427,0,0,0,0,35933402,0,0,0
ASV10428,0,0,0,0,0,0,0,18129748
ASV10429,0,0,0,0,0,24856813,0,0
ASV10430,0,10720919,0,0,0,0,0,0
ASV10431,0,0,0,0,0,36972627,0,0
ASV10432,0,0,0,0,0,88768590,0,0
ASV10433,0,0,0,0,0,20356616,0,0
ASV10434,0,19306992,0,0,0,0,0,0
ASV10435,0,0,0,0,0,29064870,0,0
ASV10436,0,0,0,0,0,41133583,0,0
ASV10437,0,0,0,0,0,65603860,0,0
ASV10438,0,0,0,0,0,11747370,0,0
ASV10439,0,0,0,0,108397640,0,0,0
ASV10440,0,0,0,0,28797835,0,0,0
ASV10441,0,0,0,0,38689040,0,0,0
ASV10442,0,0,0,0,0,0,43192127,0
ASV10443,0,0,54342000,0,0,0,0,0
ASV10444,0,0,30386055,0,0,0,0,0
ASV10445,0,0,35122603,0,0,0,0,0
ASV10446,0,0,0,0,0,0,17562559,0
ASV10447,0,0,0,0,0,0,17369080,0
ASV10448,0,0,36164793,0,0,0,0,0
ASV10449,0,0,0,0,0,0,14603078,0
ASV10450,0,0,15045236,0,0,0,0,0
ASV10451,0,0,0,0,0,32350907,0,0
ASV10452,0,0,0,0,117286400,0,0,0
ASV10453,0,0,0,0,0,0,35138318,0
ASV10454,0,0,0,0,0,0,57279056,0
ASV10455,0,0,0,0,0,0,16678704,0
ASV10456,14052439,0,0,0,0,0,0,0
ASV10457,33011514,0,0,0,0,0,0,0
ASV10458,24365766,0,0,0,0,0,0,0
ASV10459,0,0,0,0,17101517,0,0,0
ASV10460,0,0,0,0,0,0,40600610,0
ASV10461,0,0,13493037,0,0,0,0,0
ASV10462,0,0,17655330,0,0,0,0,0
ASV10463,0,0,18848352,0,0,0,0,0
ASV10464,0,0,0,0,0,0,15505981,0
ASV10465,42449072,0,0,0,0,0,0,0
ASV10466,23947409,0,0,0,0,0,0,0
ASV10467,97299594,0,0,0,0,0,0,0
ASV10468,0,0,0,0,0,13205908,0,0
ASV10469,0,0,0,0,53178215,0,0,0
ASV10470,0,0,0,0,75754550,0,0,0
ASV10471,0,0,0,0,0,0,21427432,0
ASV10472,0,0,0,0,0,0,45748340,0
ASV10473,0,0,23673700,0,0,0,0,0
ASV10474,0,0,22053377,0,0,0,0,0
ASV10475,0,0,0,0,12845892,0,0,0
ASV10476,0,0,0,0,0,30277845,0,0
ASV10477,0,0,0,0,0,0,0,26150630
ASV10478,0,0,0,0,0,33318540,0,0
ASV10479,0,0,0,45346338,0,0,0,0
ASV10480,0,0,0,17075066,0,0,0,0
ASV10481,0,21801990,0,0,0,0,0,0
ASV10482,0,11687926,0,0,0,0,0,0
ASV10483,0,0,0,45907956,0,0,0,0
ASV10484,0,0,0,0,0,28014800,0,0
ASV10485,0,0,0,0,0,0,0,179640770
ASV10486,0,0,0,0,0,0,0,20938879
ASV10487,0,0,0,0,0,0,0,23695494
ASV10488,0,0,0,0,0,0,0,45689842
ASV10489,0,0,0,0,0,0,0,17056474
ASV10490,0,0,0,17080447,0,0,0,0
ASV10491,0,0,0,0,0,0,0,18120410
ASV10492,0,17334592,0,0,0,0,0,0
ASV10493,0,13598476,0,0,0,0,0,0
ASV10494,0,0,0,0,0,26533598,0,0
ASV10495,0,0,0,61398995,0,0,0,0
ASV10496,0,0,0,19138163,0,0,0,0
ASV10497,0,0,0,0,0,0,0,21707526
ASV10498,0,0,0,0,0,13828860,0,0
ASV10499,0,0,0,0,0,12136271.6,0,0
ASV10500,0,0,0,0,0,72951110,0,0
ASV10501,0,0,0,24027360,0,0,0,0
ASV10502,0,0,0,0,0,0,0,25491348
ASV10503,0,10074583.4,0,0,0,0,0,0
ASV10504,46204540,0,0,0,0,0,0,0
ASV10505,11674902,0,0,0,0,0,0,0
ASV10506,16958116,0,0,0,0,0,0,0
ASV10507,0,0,11067974,0,0,0,0,0
ASV10508,0,0,0,0,25202754,0,0,0
ASV10509,0,0,0,0,0,0,33080440,0
ASV10510,0,0,0,0,0,0,28238022,0
ASV10511,0,0,0,0,0,0,26459060,0
ASV10512,0,0,17458606,0,0,0,0,0
ASV10513,10485677,0,0,0,0,0,0,0
ASV10514,0,0,0,0,0,56780535,0,0
ASV10515,0,0,0,0,0,17549221,0,0
ASV10516,0,0,0,0,13790326,0,0,0
ASV10517,0,0,0,0,30959502,0,0,0
ASV10518,0,0,0,0,15891846,0,0,0
ASV10519,0,0,0,0,84767880,0,0,0
ASV10520,0,0,0,0,0,0,0,24447500
ASV10521,0,0,0,0,19650957,0,0,0
ASV10522,22757597,0,0,0,0,0,0,0
ASV10523,0,0,0,0,39012644,0,0,0
ASV10524,0,0,0,0,0,0,33501520,0
ASV10525,0,0,0,0,17101441,0,0,0
ASV10526,0,0,0,0,22661407,0,0,0
ASV10527,0,0,0,0,33978075,0,0,0
ASV10528,13071035,0,0,0,0,0,0,0
