,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV10411,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina thermophila
ASV10412,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeaceae,,
ASV10413,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,
ASV10414,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,
ASV10415,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,
ASV10416,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,FEN-987,,
ASV10417,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,CADDZS01,CADDZS01,
ASV10418,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,
ASV10419,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotalea,
ASV10420,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotenuis,
ASV10421,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrosocosmicus,
ASV10422,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,UBA10452,UBA10452 sp009665115
ASV10423,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TA-21,
ASV10424,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,DTU029,DTU029,
ASV10425,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,Eremiobacteraceae,,
ASV10426,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,JAFDWR01,
ASV10427,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,Fen-1364,,
ASV10428,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
ASV10429,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,RBG-16-71-46,,
ASV10430,Bacteria,Desulfobacterota_D,UBA1144,UBA2774,UBA2774,2-12-FULL-53-21,
ASV10431,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
ASV10432,Bacteria,SAR324,SAR324,SAR324,,,
ASV10433,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,,
ASV10434,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Didemnitutus,
ASV10435,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,
ASV10436,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,
ASV10437,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,JACDES01,
ASV10438,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,Ga0074140,
ASV10439,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,2-02-FULL-66-22,2-02-FULL-66-22,
ASV10440,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,,
ASV10441,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,,
ASV10442,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,GWA2-66-18,
ASV10443,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,GWA2-66-18,
ASV10444,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,GWA2-66-18,
ASV10445,Bacteria,Planctomycetota,PLA2,PLA2,PLA2,PLA2,
ASV10446,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,,
ASV10447,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,,
ASV10448,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,VGRW01,
ASV10449,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA6930,VGRF01,
ASV10450,Bacteria,Myxococcota_A,UBA9160,UBA9160,,,
ASV10451,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,,
ASV10452,Bacteria,Desulfobacterota_B,Binatia,HRBIN30,JAGDMS01,JAGDMS01,
ASV10453,Bacteria,Desulfobacterota_B,Binatia,HRBIN30,JAGDMS01,,
ASV10454,Bacteria,Myxococcota,Polyangia,Palsa-1104,Palsa-1104,PALSA-1104,
ASV10455,Bacteria,Myxococcota,Polyangia,Polyangiales,JAFGIB01,,
ASV10456,Bacteria,Myxococcota,Polyangia,Polyangiales,JADJMO01,,
ASV10457,Bacteria,Dormibacterota,Dormibacteria,Dormibacterales,Dormibacteraceae,,
ASV10458,Bacteria,Dormibacterota,Dormibacteria,UBA8260,UBA8260,Palsa-875,
ASV10459,Bacteria,Dormibacterota,Dormibacteria,UBA8260,UBA8260,Palsa-851,
ASV10460,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,Sulfobium,
ASV10461,Bacteria,Nitrospirota,Nitrospiria,JACQBW01,JACQBW01,JACQBW01,
ASV10462,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,
ASV10463,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,
ASV10464,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2103,C7867-001,
ASV10465,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,2-02-FULL-43-16,
ASV10466,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,,
ASV10467,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,GWA1-39-11,JAGORM01,
ASV10468,Bacteria,Patescibacteria,Saccharimonadia,UBA4664,,,
ASV10469,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,UBA6022,
ASV10470,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,UBA5150,
ASV10471,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,,
ASV10472,Bacteria,Chloroflexota,UBA5177,,,,
ASV10473,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,,,
ASV10474,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,JACDGC01,,
ASV10475,Bacteria,Chloroflexota,Limnocylindria,QHBO01,QHBO01,JACDBZ01,
ASV10476,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,Fen-1039,
ASV10477,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,Palsa-1033,
ASV10478,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,C-114,
ASV10479,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,CSP1-4,
ASV10480,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,CSP1-4,
ASV10481,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,,
ASV10482,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,,
ASV10483,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,,
ASV10484,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,JACORV01,,
ASV10485,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,JACORV01,,
ASV10486,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,JACORV01,,
ASV10487,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,AG2,
ASV10488,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Palsa-1248,
ASV10489,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,FEN-1250,
ASV10490,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,AG11,
ASV10491,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1247,
ASV10492,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231,
ASV10493,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231,
ASV10494,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231,
ASV10495,Bacteria,Bacteroidota,UBA10030,UBA10030,SZUA-254,,
ASV10496,Bacteria,Bacteroidota,Kapabacteria,Palsa-1295,Palsa-1295,PALSA-1295,
ASV10497,Bacteria,Bacteroidota,Kapabacteria,Palsa-1295,Palsa-1295,PALSA-1296,
ASV10498,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,IGN2,
ASV10499,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,OLB5,,
ASV10500,Bacteria,Bacteroidota,Ignavibacteria,SJA-28,OLB5,,
ASV10501,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,OLB10,,
ASV10502,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,CAIUEQ01,
ASV10503,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA2798,,
ASV10504,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
ASV10505,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
ASV10506,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
ASV10507,Bacteria,Bacteroidota,Bacteroidia,AKYH767,B-17BO,PALSA-968,
