#ASVID	4.5_0	4.5_4	4.5_5	4.5_6	4.5_7	4.5_8	4.5_9	4.5_10	4.5_11	4.5_12	4.5_13	4.5_14	4.5_M5	4.5_M11	4.5_0.1	4.5_0.2	4.5_0.3	7.5_0	7.5_4	7.5_5	7.5_6	7.5_7	7.5_8	7.5_9	7.5_10	7.5_11	7.5_12	7.5_13	7.5_14	7.5_M4	7.5_M14	7.5_0.1	7.5_0.2	7.5_0.3	CM_0	CM_5	CM_6	CM_7	CM_8	CM_9	CM_10	CM_11	CM_M5	CM_M11	CM_0.1	CM_0.2	CM_0.3	LD_0	LD_0.1	LD_0.2	LD_0.3	LD_4	LD_5	LD_6	LD_7	LD_8	LD_9	LD_10	LD_11	LD_12	LD_13	LD_M4	LD_M13
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52114467895955	0	0	0	0	0.0292090197452973	0.00679686437989941	0.0176700298623505	0	0	0	0	0	0	0.287325165347501	0.237339333600469	0.300306980468924	0.021037130535395	0	0	0	0.0278435194208548	0.450472037187904	4.27967097532315	4.22948399129624	1.03188780358025	0.601304367936601	0	0
ASV389	0.273400813941354	0.0568716661437088	0.0787219263718453	0.665989389321594	0.552074007758878	0.315447844945252	0.0669867143016635	0.16750418760469	0.0763372991491184	0.0679454345894528	0.0791368295083866	0.0869160956481313	0	0	0.139563445542344	0.171043122139244	0.154911073200384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0536472463634831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174536992145835	0	0	0.115014137154359	0.0164512338425382	0	0.0152027669035765	0.0123344485730585	0	0
ASV725	0.112699572159032	0.531455914653279	0	0	0	0	0	0.189352559900954	0	0	0	0	0	0	0.237257857421984	0.132498193206456	0.215698962684079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00584305552850437	0	0.0178272185973544	0	0.103205203100051	0.167655988037519	0.286254483770078	0	0	0	0	0	0.0950012091062977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136308758811388	0.0815623725587929	0.180234304595975	0	0	0	0.019974698714961	0	0.0483642519086607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV2389	0	0	0	0.27655491590473	0.17905102954342	0.15165761776214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407988809449798	0.0285051879442058	0.0107926425014262	0	0
ASV6385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254728395847927	0.015306234010452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194280385452285	0	0.0107926425014262	0	0
ASV7039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190034586294706	0.00770903035816155	0	0
ASV7158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0686341798215511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275955762168588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155424308361828	0	0	0	0
ASV8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123344485730585	0	0
ASV8678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015306234010452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01093302429318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01093302429318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00971401927261424	0	0	0	0
ASV9663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00874641943454398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00353400597247009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
