"source","name","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance","diversity_faith","asv_novelty"
"GcA","GcA","GcA",718,718,240.959631538131,0.99584992725289,6.06219234810596,119.787168882277,116,0.859395424290403,0.9218004104569,0.335598372615781,0.511737276819479,0.623490604221126,0.028884482938537,0.0449546071167693,1384,0.028884482938537,0.00415007274710973,0.0129187102160075,0.966592439802184,2.0597875650169,0.455640196180737,0.768840655327142,76.1504759419996,0.740947075208914
"GcA4","GcA","GcA4 (71)",570,570,133.155794463385,0.992490000123314,5.51311664927892,89.8644995873748,49,0.818923298597922,0.868804377652525,0.233606656953307,0.377283622399734,0.506876367249861,0.0255530279259492,0.0481644179479134,1303,0.0255530279259492,0.00750999987668565,0.0213562911829307,0.980437160359983,2.05790707627278,0.306008785691873,0.866822246626922,122.543986539,0.778947368421053
"GcA5","GcA","GcA5 (66)",232,232,114.147781108576,0.991239426730084,5.06935333639298,36.3074253483572,47,0.857611915274129,0.930713744849078,0.492016297881791,0.499910843037601,0.665462283336791,0.0365825422551517,0.0645519796249132,790,0.0365825422551517,0.00876057326991592,0.0200509377170641,0.988042990347807,2.05590648368751,0.0879833294744154,0.828571428571429,38.9204207970001,0.758620689655172
"GcA6","GcA","GcA6 (62)",181,181,80.8233329557274,0.987627335282649,4.78852972286481,28.0645791687269,34,0.969649742840411,0.921137339131809,0.446537751136616,0.492232989266783,0.662174687386337,0.0463370583587312,0.0867479399480754,821,0.0463370583587312,0.0123726647173505,0.021842194378598,0.990813523296296,2.05733233847386,0.0374195733152726,0.700699853256575,21.7587335420001,0.740331491712707
"GcA7","GcA","GcA7 (58)",237,237,68.8125628120174,0.985467769849936,4.91488186349202,37.7391188225445,37,0.891885664207548,0.89883463909227,0.290348366295432,0.571888916403973,0.635942218108432,0.0701780563016015,0.11792499751318,1411,0.0701780563016015,0.0145322301500644,0.0202924500149209,0.988836734949345,2.06022538273539,0.103401969561325,0.622401273251766,26.3548020220001,0.691983122362869
"GcA8","GcA","GcA8 (55)",419,419,121.964844280796,0.991800916027099,5.49020409218523,67.6841266088471,64,0.847923387349264,0.909294710834266,0.291085547209536,0.518206643879935,0.621897386278919,0.0554460250538385,0.075889471928175,1828,0.0554460250538385,0.0081990839729007,0.0125572507507052,0.980640693850063,2.0584852589864,0.271558130364888,0.723164184536989,52.0523465749999,0.73508353221957
"GcA9","GcA","GcA9 (50)",327,327,114.382611038795,0.991257412373102,5.26269853507071,52.3861456955235,50,0.968537184739366,0.908935187762296,0.349793917549833,0.481363113564923,0.614063374363267,0.0431320010420156,0.0711919913661568,1159,0.0431320010420156,0.00874258762689749,0.0110155930184958,0.985158789221401,2.05731662804955,0.178705667820327,0.751330430575714,35.7107692130001,0.743119266055046
"GcA10","GcA","GcA10 (47)",453,453,142.944226156833,0.993004264482129,5.53482131107494,77.0562104781892,63,0.829902302889178,0.90499001576778,0.315550168116629,0.483668768044862,0.599009379332213,0.0322263491369893,0.0633966936129925,885,0.0322263491369893,0.00699573551787142,0.00859369310319714,0.980310202112491,2.06033374620567,0.27121112810429,0.771939407180832,46.8932685059998,0.759381898454746
"GcA11","GcA","GcA11 (43)",904,904,139.453544912842,0.992829153245082,5.86766900984638,154.408359523846,70,0.866152028375792,0.86202675271829,0.154262770921286,0.434754130813178,0.51542932838909,0.0323968050047478,0.0637695730696904,1740,0.0323968050047478,0.00717084675491752,0.00484090189726117,0.968788407533395,2.06069132737731,0.447541380401795,0.802435346031391,81.3055153139994,0.761061946902655
"GcA12","GcA","GcA12 (40)",914,914,79.6147228284051,0.987439509119999,5.53316168267191,154.361361345725,40,0.923716620227946,0.811572189229655,0.0871058236634629,0.411624172205676,0.454490631832624,0.0572135403055802,0.0988867401871113,3284,0.0572135403055802,0.0125604908800011,0.00466907088973676,0.973951965645426,2.0609555313773,0.396540009407829,0.724542239411836,84.5377180189994,0.737417943107221
"GcA13","GcA","GcA13 (36)",797,797,53.841106069972,0.981426830297647,5.21790576503934,133.667927377968,27,0.943158265449149,0.781023688721248,0.0675547127603161,0.409628208690149,0.426746274560278,0.0644675635507344,0.119824740875138,3340,0.0644675635507344,0.0185731697023534,0.00395684147541933,0.979265666736552,2.06035121663334,0.349398753112394,0.688200891736957,74.2560523319995,0.730238393977415
"GcA14","GcA","GcA14 (33)",796,796,29.4666253781826,0.966063300864428,5.06872891924466,134.715827195465,23,0.930364407691237,0.758837286223171,0.0370183735906817,0.417571489621443,0.426471716292236,0.158530915853092,0.200291067855194,7843,0.158530915853092,0.0339366991355722,0.00406282214541265,0.979473594044336,2.0609407226158,0.348877165322499,0.658824005012835,89.6027465509994,0.724874371859296
"GcAr1","GcA","GcArep1",443,443,139.75684595001,0.99284471545417,5.48040671760262,71.1862212384399,56,0.849922984921225,0.899375394788008,0.315478207562098,0.445819643664462,0.580538717425829,0.0309551722212918,0.0543180930050801,1109,0.0309551722212918,0.00715528454582966,0.00965779043153017,0.981464542599511,2.05621511869878,0.264054038966114,0.745157148439681,41.099798861,0.749435665914221
"GcAr2","GcA","GcArep2",498,498,145.940303958432,0.99314788325859,5.5555004452579,79.5650487226117,59,0.847930338554894,0.894519108678368,0.293052819193638,0.45030542542285,0.56493196713405,0.0290532401830884,0.0502288605155384,1206,0.0290532401830884,0.00685211674140976,0.00975668513611178,0.979925293744245,2.05688708025526,0.306769453143821,0.745723921946519,43.0881702009999,0.767068273092369
