Class,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
4484-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032598065848093,0.00032626427406199,0.000633653328264107,0.000777604976671851,0,0,0,0.000418293363078639,0,0,0,0,0,0.000139634158504718,0.000115874855156431,0.000183933416103371,0,0,0,0,0,0,0,0,0,0,0,0.00010842459069717,0.000184939740467898,0.000133469769097299,0.000105185652676975,0.00046554187468897,0,0.000234863074827376,0,0,0,0,5.70103758884117e-05,0
Abditibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0.000104531437829927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250972518509223,0,0.000100336126022174,0,0,0,0,0,0,0,6.36820989619818e-05,0.0001093302429318,0.000139634158504718,0,3.06555693505618e-05,0,0,0.000147181474758377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70035252643948e-05,0,0,4.62541821489693e-05
Acidimicrobiia,0.011228216633622,0.0144029475799699,0.0153697904119489,0.0166480381198894,0.0313970818951992,0.0231535077564251,0.0119087933175302,0.0044762757385855,0.0034577936849768,0.00107923039708236,0.00269463258320588,0.00325829935392579,0.00270039547727312,0.00218108822791407,0.00244577850544742,0.0250190155384114,0.0247458903250094,0.0270886797832906,0.0302513419956855,0.0731270831935217,0.0535249438362515,0.0197628458498024,0.0141290202639896,0.00330095854757824,0,0,0.00443651956101806,0.00268952397612227,0.00209451237757076,0.002240247199691,0.0130746003280146,0.0642634872906542,0.0599573873094081,0.0627974292302409,0.0811989949944491,0.0280518520230145,0.00575819160694548,0.00355148536966719,0.00469291583907777,0.00425936834473696,0.00639655081017087,0.0185856910906139,0.0139867721999349,0.00785993896988565,0.0106998264893002,0.076112338277059,0.0644855762284687,0.019053621642587,0.00441542580675466,0.000510464522715671,0,0.000869565217391304,0.00147653092943736,0.00117821443502718,0.000724648853667186
Acidobacteriota Phylum,0,0,0,0,0.00049027298399749,0,0,0,0,0,0,0,0,0,0,0.000923611865695969,0.00163132137030995,0,0.000777604976671851,0,0.000677530934636095,0.000790513833992095,0.00227737497676148,0,0,0,0.00106136831603303,0.000437320971727199,0.000239372843150945,0.000637311703360371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904596613021984,0.001043455926027,0,0,0,0,0,0,0,0
Actinomycetia,0.162162162162162,0.111874057946743,0.114671163575042,0.107359256426849,0.409495607154063,0.289557768001852,0.165820069985326,0.136625882821048,0.0918741848403045,0.0544453127907409,0.0440608841307989,0.0381500307211082,0.0323524800083625,0.0270416336929877,0.0319568249348129,0.0424046506573943,0.0329024971765592,0.041662706333365,0.0345156273516279,0.125741001722479,0.0902899119209785,0.0691467100674262,0.0403420710169176,0.0272963879895893,0.01289342092362,0.0117545440889289,0.00817253603345433,0.00588196706973083,0.00412918154435379,0.00627655465430668,0.0103309268711393,0.00933533792524737,0.00655835941141221,0.00529853309130158,0.0304423193035078,0.00984356586639554,0.00272756444539523,0.00163055617601072,0.00235619425945399,0.00201640309937016,0.00217341367306911,0.00684008705565343,0.00620730781741299,0.00317479887803224,0.00567246518663523,0.0705585358157147,0.0327805692453406,0.026471443808785,0.0113204002066795,0,0.00148559927157713,0.00150411280846063,0.00192337581597762,0.00150127323172817,0.00197351177168936
Actinomycetota Phylum,0.000271313784827298,0,0,3.92179932152872e-05,0.000921713209915281,0.000138921046538551,0,0,0.000394309806181565,0,0,0,0.000139375250439903,0,0,0,0,0,0,0.000134219179920811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aenigmatarchaeia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175680762956456,0.000190095998479232,0.000125420157527718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria,0.0745278096629448,0.0433763188745604,0.048542519874729,0.0437084534384376,0.0229447756510825,0.0244501041907849,0.0471272152613162,0.0947975728638218,0.0946950165306803,0.0435413642960813,0.0302599956303255,0.0369211863933419,0.0362549870206798,0.0420583296338474,0.0674307197865502,0.0579430620449853,0.0605345714644246,0.0620029781706428,0.0582952892188832,0.0209381920676465,0.0237849017580145,0.0560799813996745,0.0855177542294107,0.0750333269853361,0.0419648985194627,0.0248986029743128,0.0233076482200853,0.015065707476002,0.0150605413815802,0.0178833526458092,0.0963964378228415,0.0911506590678648,0.0693122045409149,0.0884315360839916,0.139181582688974,0.159576680453821,0.0831818019752559,0.043176234085325,0.0434630213810025,0.0424577461597717,0.0464721785379817,0.0805092064808099,0.104982109942535,0.0851031039053109,0.104061929972861,0.0483012517092669,0.0821922206347422,0.157859012896344,0.126450279487059,0.0927189196714465,0.0468682608904011,0.0435957696827262,0.0407405968293441,0.0299684542586751,0.0262877935213309
Anaerolineae,0.000772200772200772,0,0,0,0,0,0,0.000646573162240127,0.00133458703630683,0.00171188269882029,0.000873934891850557,0.000614422163883148,0.000226484781964843,0.000386033314675057,0.000282982636993916,0.0229544713680322,0.0248211820805622,0.028387669106232,0.0267144935534039,0.0102453974006219,0.00870092358164248,0.00725412694722158,0.016359918200409,0.0133307941344506,0.0639768604765173,0.0739071653898152,0.0297607675815662,0.00767498305381235,0.00566515728790569,0.00693317883352646,0.0206311981729281,0.00146848012307262,0.0018975963779213,0.00193788941765196,0.00360321757591103,0.00374332786468563,0.00183620351552751,0.00122850122850123,0.00101257935117031,0.000679686437989941,0.000618451045182266,0.00333367879227554,0.00699338609996747,0.0105415652066702,0.0071183876851893,0.00244030714210582,0.00422198320838617,0.025792688839329,0.0202921696650853,0.00877070861756926,0.0197440935448315,0.0181903642773208,0.00819863226608642,0.00378168826726464,0.00581260889005381
