Family,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
0-14-0-80-60-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118023941999663,0,0,0.000269832703723691,0,0.000716315825958361,0.00164010411095661,0.00321643958007594,0.00459555243992678,0.00265077710816077,0.00256215433004082,0.00310913047984247,0.000379486067440095,0,0.000289184499710815,0,0,0,0,0,0,0.00150411280846063,0.00190394777743239,0.00068412451066094,0.000462541821489693
02-FULL-45-10c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98432107877361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-14-0-10-43-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88560770904569e-05,0,0
1-14-0-20-64-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175588220538805,0,0,0,0,0,0,0,0,4.37320971727199e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-45-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111681929863748,0.000233672157962379,0.00126874801758122,0.00075981128408107,0.000207275365322831,0,0,0,0,0,0,0,0,0,0.000282021151586369,0.000660553310537768,0,0.000123344485730585
2-01-FULL-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119686421575472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-52-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,6.55981457590799e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-56-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05052878965922e-05,0,0,3.08361214326462e-05
2-01-FULL-59-12,0,0,0,0,0,0,0,0,0,0,0,0.00016756968105904,0,0,0,0,0.000276069770360146,0,0.000426428535594241,0,0,0,0,0,0.00102951269732327,0.00184016824395373,0.000403319960092551,0,0.000319163790867926,9.65623792970259e-05,0.00110360049662022,0,0,0,0,0,0.000142617748778836,0.000312709403618495,0.000175254118471784,0,0.000282720477797607,0.000414550730645663,0.000975821316274531,0.00413032087044971,0.00242470080526761,0,0,0,0,0,0.00666123544352327,0.00568742655699177,0.00242850481815356,0.000247044962183117,0.00115635455372423
2-01-FULL-66-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190155384113876,0,0,0.000125420157527718,0,0,0,0,0,0.000196097656633003,0,0,0.00013119629151816,0,9.65623792970259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-02-FULL-39-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467002059054533,0.000306124680209039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025256450108797,0,0
2-02-FULL-51-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451750533316602,0.000570287995437696,0,0,0,0,0,0,0.00107853711148152,7.51089079164789e-05,0.00146468827612558,0.00015306234010452,0,9.65623792970259e-05,0.000367866832206741,0.00013985524981644,0,0.000122651228965314,0,0,0,0,0,0,0,0,0.000135530738371463,0.000123293160311932,0.000222449615162166,0,0,0,0,0,0,0.00216216216216216,0.00217594031706559,0.000703127969290411,0.000400869578624401
2-02-FULL-66-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297359022700449,0.00080416768644453,0.000832279113123377,0.00117745179806702,0.00444072220166332,0.00429789495575017,0.00183620351552751,0.000692427965155238,0.000701016473887136,0.000679686437989941,0.000530100895870514,0.00203820775900784,0.00303588853952076,0.00255833307647258,0.00244694576678382,0.00235615861996424,0.00393302618271716,0.00358770483855328,0.00460331626661656,0.00190264049375841,0,0.000705052878965922,0.00050512900217594,0.000304055338071529,0.000678394671518216
2-12-FULL-35-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677847506177159,0.00181524406056133,0.00231749710312862,0.000674422525712359,0,0,0,0,0,0,0,0.000214199478132181,0.000181249716797317,0.00037107062710936,0,0,0,0,0,0,0,0,0,0,0,0.000271992539633199,0.00553000646117593,0.0120569234801647
2-12-FULL-40-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-FULL-49-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30100895870514e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-FULL-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05052878965922e-05,7.77121541809139e-05,0,0
2-12-FULL-54-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000301167022211068,0,0,0,0,0,0,0,0.000931463869006765,0.000976415802914226,0.000424547326413212,0.00013119629151816,0.000159581895433963,0.000115874855156431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-FULL-60-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37320971727199e-05,0,0,3.06555693505618e-05,0,0,0.000147181474758377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-FULL-66-21,0.000772200772200772,0,0,0,0.000235331032318795,0,0,0.000596836765144733,0.000940277230125269,0,0.000254897676789746,0.000242045094863058,0.00024390668826983,7.72066629350113e-05,0.000343621773492612,0.0208355970879061,0.021985192621408,0.0136869118905047,0.0189635278181909,0.00771760284544662,0.00873658310451806,0.0402697047198326,0.0338817624093698,0.0116803148606615,0.00652024708304736,0.00968904912122578,0.010571228427689,0.00811230402553954,0.00773972192854721,0.00730011587485516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000577914051338032,0,0,0,0,0,0,0,0
