Genus,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
0-14-0-80-60-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000459833540258426,0,0,0,0,0,0,0,0.000369980916773766,0,0.000141360238898804,0.000138183576881888,0,0,0,0,0,0,0,0,0,0,0.000543985079266397,0.000190034586294706,0
0-14-3-00-41-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214199478132181,0.000135937287597988,0.000106020179174103,0.000103637682661416,0,0,0,0,0,0,0,0,0,0.00063454759106933,0.000369132732359341,0,0
02-FULL-45-10c Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98432107877361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-14-0-10-55-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100389007403689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-FULL-67-14b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027436705422145,0.00338812899987451,0.00285143997718848,0.00270907540259871,0.00118560275596716,0,0,0.00594906116378509,0.00895067606170253,0,0.00364278203394923,0.00152837037508756,0.00161808759539064,0.000977439109533023,0.00160293549633063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-2-20CM-66-19,0.00569758948137327,0.00764807681572043,0.00604673572633101,0.0047257681824421,0.00315735801694383,0.00662190321833758,0.00982052150355571,0.00477469412115786,0.00500470138615063,0.00401920285809981,0.00218483722962639,0.00148950827608036,0.00099304865938431,0.00156343492443398,0.00133406100297132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000413850186232584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012622278321237,0,0,0,0,0,0,0,0,0
17J80-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214245369378494,0.000207962659149202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-45-10 Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111681929863748,0.000233672157962379,0.00072499886718927,0,0.000207275365322831,0,0,0,0,0,0,0,0,0,0,0.000660553310537768,0,7.70903035816155e-05
2-01-FULL-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119686421575472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-50-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49094652826424e-05,0,0.000239372843150945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-52-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,6.55981457590799e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-56-20 Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05052878965922e-05,0,0,0
2-01-FULL-59-12,0,0,0,0,0,0,0,0,0,0,0,0.00016756968105904,0,0,0,0,0.000276069770360146,0,0.000426428535594241,0,0,0,0,0,0.00102951269732327,0.00184016824395373,0.000403319960092551,0,0.000319163790867926,9.65623792970259e-05,0.00110360049662022,0,0,0,0,0,0.000142617748778836,0.000312709403618495,0.000175254118471784,0,0.000282720477797607,0.000414550730645663,0.000975821316274531,0.00413032087044971,0.00242470080526761,0,0,0,0,0,0.00666123544352327,0.00568742655699177,0.00242850481815356,0.000247044962183117,0.00115635455372423
2-01-FULL-63-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01945037018446e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-66-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190155384113876,0,0,0.000125420157527718,0,0,0,0,0,0.000196097656633003,0,0,0.00013119629151816,0,9.65623792970259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-02-FULL-38-14-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000388560770904569,0.00102618676599141,0.0028677592932361
2-02-FULL-39-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275955762168588,0.000306124680209039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025256450108797,0,0
2-02-FULL-42-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119686421575472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-02-FULL-44-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74641943454398e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-02-FULL-51-18 Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51089079164789e-05,0,0,0,0,0,0.00013985524981644,0,0.000122651228965314,0,0,0,0,0,0,0,0,0.000135530738371463,0,0,0,0,0,0,0,0,0.000352526439482961,0.00089368977308051,0,0
2-02-FULL-52-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97386846462269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
