Species,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
0-14-0-80-60-11 sp016875015(GB_GCA_016875015.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000459833540258426,0,0,0,0,0,0,0,0.000369980916773766,0,0.000141360238898804,0.000138183576881888,0,0,0,0,0,0,0,0,0,0,0.000543985079266397,0.000190034586294706,0
0-14-3-00-41-53 sp002780895(GB_GCA_002780895.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214199478132181,0.000135937287597988,0.000106020179174103,0.000103637682661416,0,0,0,0,0,0,0,0,0,0.00063454759106933,0.000369132732359341,0,0
02-FULL-45-10c Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98432107877361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-14-0-10-55-24 sp002772745(GB_GCA_002772745.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100389007403689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-FULL-67-14b sp016871275(GB_GCA_016871275.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027436705422145,0.00183209938511733,0.00101384532522257,0.00122911754377163,0.00091716439612554,0,0,0.00594906116378509,0.00895067606170253,0,0.00364278203394923,0.00104014094971237,0.00111516847790436,0.000618379844806607,0.0011201235998455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-FULL-67-14b sp021730945(GB_GCA_021730945.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155602961475718,0.00183759465196591,0.00147995785882707,0.000268438359841621,0,0,0,0,0,0,0.000488229425375194,0.000502919117486279,0.000359059264726417,0.000482811896485129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-2-20CM-66-19 Genus,0.00467494521548576,0.00541506168704293,0.00493856901951337,0.00368649136223699,0.00229447756510825,0.00472331558231072,0.00722429168077661,0.00477469412115786,0.00403409263247293,0.00401920285809981,0.00218483722962639,0.00148950827608036,0.00099304865938431,0.00127390993842769,0.00133406100297132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-2-20CM-66-19 sp019352035(GB_GCA_019352035.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000413850186232584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012622278321237,0,0,0,0,0,0,0,0,0
13-2-20CM-66-19 sp021787615(GB_GCA_021787615.1),0.00102264426588751,0.0022330151286775,0.00110816670681763,0.00103927682020511,0.000862880451835582,0.00189858763602686,0.00259622982277909,0,0.000970608753677697,0,0,0,0,0.000289524986006292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17J80-11 sp010975005(RS_GCF_010975005.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214245369378494,0.000207962659149202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-FULL-45-10 Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111681929863748,0.000233672157962379,0.00072499886718927,0,0.000207275365322831,0,0,0,0,0,0,0,0,0,0,0.000660553310537768,0,7.70903035816155e-05
2-01-FULL-50-11 sp001777585(GB_GCA_001777585.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119686421575472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
