,input,filtered,,denoisedF,denoisedR,merged,,nonchim,
4_5_0,81572,77775,95.3452165,69252,75052,51088,62.62933359,47908,58.73093709
4_5_10,79164,44574,56.30589662,38850,42731,29398,37.13556667,27290,34.47274013
4_5_11,92888,69142,74.43587977,65126,67015,56025,60.31457239,53528,57.62638877
4_5_12,101988,75202,73.73612582,71970,73310,62534,61.31505667,57425,56.3056438
4_5_13,91995,66465,72.24849177,63901,65026,56649,61.57834665,51851,56.36284581
4_5_14,91542,61806,67.51654978,59404,60361,53119,58.02691661,49639,54.22538288
4_5_4,102870,78166,75.98522407,75038,76459,58302,56.67541557,51336,49.90376203
4_5_5,98323,60422,61.45255942,53508,58556,28492,28.9779604,21573,21.94094973
4_5_6,81859,53780,65.69833494,43817,51518,22584,27.58890287,17810,21.75692349
4_5_7,83064,55576,66.90744486,46263,53338,26702,32.14629683,20207,24.32702494
4_5_8,99444,69716,70.10578818,59605,67061,39605,39.82643498,32592,32.77422469
4_5_9,91668,58891,64.24379282,49527,56299,33319,36.34747131,26910,29.35593664
7_5_0,67282,63708,94.68802949,52293,60314,36382,54.07389792,36275,53.91486579
7_5_10,83006,55237,66.54579187,44332,52137,28735,34.61797942,26713,32.18201094
7_5_11,87152,66600,76.41821186,59660,63487,47705,54.73769965,46893,53.80599413
7_5_12,82780,63521,76.73471853,58292,60865,47517,57.40154627,45526,54.99637594
7_5_13,90265,66899,74.11399767,62660,64512,53274,59.01955354,50260,55.68049632
7_5_14,87692,64413,73.45367878,61246,62533,54523,62.17556904,51762,59.02704922
7_5_4,89597,67201,75.00362735,62943,65180,48757,54.41811668,44753,49.94921705
7_5_5,106898,68781,64.34264439,57907,66214,32915,30.79103444,27945,26.1417426
7_5_6,89513,56544,63.16847832,41828,53545,21575,24.10264431,21076,23.54518338
7_5_7,98548,63307,64.23976133,44760,59617,21422,21.73763039,21088,21.39870926
7_5_8,96120,60325,62.76009155,38784,55981,15561,16.18913858,15247,15.86246359
7_5_9,89057,53669,60.26365137,37561,49732,20802,23.35807404,20027,22.48784486
CM_0,99390,95903,96.49159875,85892,92628,66945,67.35587081,64992,65.39088439
CM_10,82048,59732,72.80128705,56921,58379,49374,60.17696958,44082,53.72708658
CM_11,97179,68817,70.81468218,66504,67505,60610,62.36944196,56496,58.13601704
CM_5,91584,67541,73.74759783,65299,66218,57339,62.60809748,51438,56.16483229
CM_6,79744,58899,73.86010233,56250,57574,47486,59.54805377,43045,53.97898274
CM_7,84730,76290,90.03894724,73894,74951,64599,76.24100083,55887,65.95892836
CM_8,64436,57411,89.09770936,55747,56475,49842,77.35117015,44619,69.24545285
CM_9,87033,71319,81.94477957,67999,69723,58637,67.37329519,51219,58.85009134
LD_0,86193,82687,95.9323843,77911,80722,65810,76.35190793,57818,67.07969325
LD_10,78982,62729,79.4218936,56349,59913,44986,56.95728141,42555,53.87936492
LD_11,89150,70497,79.07683679,64666,67805,54032,60.60796411,51274,57.51430174
LD_12,88349,69017,78.11859783,65005,66955,57197,64.73983859,52662,59.60678672
LD_13,94114,82335,87.48432752,78574,80265,70274,74.66901842,64907,68.96635995
LD_4,98635,67966,68.90657475,64840,66226,51984,52.70340143,47723,48.38343387
LD_5,99909,88813,88.89389344,84681,86774,68133,68.1950575,62590,62.64700878
LD_6,86051,51621,59.98884383,39525,49225,21755,25.2815191,20256,23.53952888
LD_7,81950,61119,74.58084198,45003,57951,23349,28.49176327,21039,25.67297132
LD_8,85712,57131,66.65461079,41925,53945,23028,26.86671645,21083,24.59748927
LD_9,79650,51010,64.04268675,38663,47780,22892,28.74074074,20551,25.80163214
